estado,tokenFinal,categoria,transicionesDefinidas,simbolo:a,simbolo:b,simbolo:c,simbolo:d,simbolo:e,simbolo:f,simbolo:g,simbolo:h,simbolo:i,simbolo:j,simbolo:k,simbolo:l,simbolo:m,simbolo:n,simbolo:ñ,simbolo:o,simbolo:p,simbolo:q,simbolo:r,simbolo:s,simbolo:t,simbolo:u,simbolo:v,simbolo:w,simbolo:x,simbolo:y,simbolo:z,simbolo:0,simbolo:1,simbolo:2,simbolo:3,simbolo:4,simbolo:5,simbolo:6,simbolo:7,simbolo:8,simbolo:9,simbolo:+,simbolo:-,simbolo:*,simbolo:/,simbolo:%,simbolo:<,simbolo:>,simbolo:=,simbolo:!,simbolo:&,simbolo:|,simbolo:.,simbolo:coma,simbolo:;,simbolo::,simbolo:{,simbolo:},simbolo:(,simbolo:),simbolo:[,simbolo:],simbolo:_,simbolo:comilla_doble,simbolo:espacio
49,,No final,1,200,200,200,200,200,200,50,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
50,log,Reservada,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
51,,No final,1,200,200,200,200,200,52,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
52,of,Reservada,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
53,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,54,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
54,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,55,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
55,,No final,1,200,200,200,200,200,200,200,56,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
56,push,Reservada,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
57,,No final,1,200,200,200,200,58,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
58,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,59,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
59,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,60,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
60,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,61,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
61,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,62,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
